Joint8 X:0.149421, Y:-0.004749, Z:1.344353
Joint9 X:0.339760, Y:-0.246888, Z:1.326712
Joint10 X:0.357265, Y:-0.484187, Z:1.276800
Joint11 X:0.351237, Y:-0.527876, Z:1.272326
Joint12 X:0.062881, Y:-0.564879, Z:1.444530
Joint13 X:-0.289123, Y:-0.839631, Z:1.328666
Joint14 X:-0.666231, Y:-1.145575, Z:1.231431
Joint15 X:-0.698767, Y:-1.163034, Z:1.099561
Joint16 X:0.215384, Y:-0.514090, Z:1.406617
Joint17 X:-0.075618, Y:-0.856697, Z:1.301044
Joint18 X:-0.383985, Y:-1.234597, Z:1.214870
Joint19 X:-0.416715, Y:-1.256123, Z:1.083321
Joint20 X:-0.007043, Y:-0.021340, Z:1.366550
Joint21 X:-0.085922, Y:-0.760686, Z:1.345732
Joint22 X:-0.066671, Y:-0.724837, Z:1.323345
Joint23 X:0.367503, Y:-0.602575, Z:1.271183
Joint24 X:0.403276, Y:-0.499521, Z:1.263917
Joint0 X:0.175609, Y:-0.560722, Z:1.457582
Joint1 X:0.080361, Y:-0.263602, Z:1.406557
Joint2 X:-0.011227, Y:0.026291, Z:1.338947
Joint3 X:-0.130545, Y:0.150768, Z:1.313896
Joint4 X:-0.094895, Y:-0.164879, Z:1.398231
Joint5 X:-0.078498, Y:-0.403748, Z:1.404221
Joint6 X:-0.058942, Y:-0.662581, Z:1.358860
Joint7 X:-0.052652, Y:-0.710723, Z:1.346785
Joint8 X:0.178924, Y:-0.015829, Z:1.321633
Joint9 X:0.373786, Y:-0.235594, Z:1.319814
Joint10 X:0.395871, Y:-0.479455, Z:1.267624
Joint11 X:0.392048, Y:-0.523677, Z:1.266338
Joint12 X:0.100208, Y:-0.574256, Z:1.447776
Joint13 X:-0.279468, Y:-0.803721, Z:1.305193
Joint14 X:-0.685806, Y:-1.060689, Z:1.177899
Joint15 X:-0.720391, Y:-1.076781, Z:1.047022
Joint16 X:0.243625, Y:-0.522626, Z:1.403440
Joint17 X:-0.052708, Y:-0.861889, Z:1.301192
Joint18 X:-0.366283, Y:-1.236321, Z:1.218395
Joint19 X:-0.402278, Y:-1.259970, Z:1.089283
Joint20 X:0.011195, Y:-0.044936, Z:1.358459
Joint21 X:-0.063842, Y:-0.761443, Z:1.337146
Joint22 X:0.004785, Y:-0.719772, Z:1.336640
Joint23 X:0.404580, Y:-0.588782, Z:1.254449
Joint24 X:0.439750, Y:-0.502668, Z:1.246377
Joint0 X:0.133093, Y:-0.537371, Z:1.453636
Joint1 X:0.090741, Y:-0.235929, Z:1.403357
Joint2 X:0.040732, Y:0.065734, Z:1.335277
Joint3 X:-0.019216, Y:0.221009, Z:1.280791
Joint4 X:-0.096646, Y:-0.089464, Z:1.391518
Joint5 X:-0.136326, Y:-0.337270, Z:1.419625
Joint6 X:-0.187275, Y:-0.567676, Z:1.378747
Joint7 X:-0.216629, Y:-0.632019, Z:1.361952
Joint8 X:0.201725, Y:-0.001444, Z:1.324348
Joint9 X:0.376428, Y:-0.230934, Z:1.345757
Joint10 X:0.432775, Y:-0.465445, Z:1.284022
Joint11 X:0.447909, Y:-0.525689, Z:1.272257
Joint12 X:0.050100, Y:-0.540851, Z:1.428530
Joint13 X:-0.043989, Y:-0.972007, Z:1.320511
Joint14 X:-0.144054, Y:-1.446253, Z:1.233576
Joint15 X:-0.168902, Y:-1.473887, Z:1.104067
Joint16 X:0.208804, Y:-0.509835, Z:1.412616
Joint17 X:-0.087413, Y:-0.846259, Z:1.297090
Joint18 X:-0.401628, Y:-1.217384, Z:1.199955
Joint19 X:-0.436743, Y:-1.236968, Z:1.069683
Joint20 X:0.051099, Y:-0.009940, Z:1.354667
Joint21 X:-0.230461, Y:-0.740832, Z:1.334879
Joint22 X:-0.187330, Y:-0.615012, Z:1.332182
Joint23 X:0.453791, Y:-0.602889, Z:1.258974
Joint24 X:0.473390, Y:-0.515041, Z:1.248400
Joint0 X:0.003082, Y:-0.513296, Z:1.400042
Joint1 X:0.043618, Y:-0.215347, Z:1.382728
Joint2 X:0.070204, Y:0.072768, Z:1.350086
Joint3 X:0.165719, Y:0.204007, Z:1.290480
Joint4 X:-0.097518, Y:0.003723, Z:1.363651
Joint5 X:-0.302691, Y:-0.159451, Z:1.395529
Joint6 X:-0.471427, Y:-0.322880, Z:1.346562
Joint7 X:-0.517556, Y:-0.337248, Z:1.331859
Joint8 X:0.232502, Y:-0.059992, Z:1.376902
Joint9 X:0.280981, Y:-0.334242, Z:1.429860
Joint10 X:0.353052, Y:-0.565851, Z:1.382588
Joint11 X:0.360679, Y:-0.662324, Z:1.354525
Joint12 X:-0.078434, Y:-0.490328, Z:1.355066
Joint13 X:0.019933, Y:-0.925506, Z:1.334977
Joint14 X:0.123679, Y:-1.403740, Z:1.344592
Joint15 X:0.138510, Y:-1.435717, Z:1.213227
Joint16 X:0.083454, Y:-0.512804, Z:1.380433
Joint17 X:0.154931, Y:-0.947921, Z:1.271576
Joint18 X:0.233429, Y:-1.425883, Z:1.184049
Joint19 X:0.241415, Y:-1.445205, Z:1.048843
Joint20 X:0.064277, Y:0.003086, Z:1.359806
Joint21 X:-0.568172, Y:-0.388659, Z:1.320471
Joint22 X:-0.510398, Y:-0.358702, Z:1.296320
Joint23 X:0.356423, Y:-0.743701, Z:1.346094
Joint24 X:0.374013, Y:-0.627917, Z:1.293222
Joint0 X:-0.049544, Y:-0.555872, Z:1.454484
Joint1 X:0.036949, Y:-0.259837, Z:1.405525
