Joint9 X:0.364443, Y:-0.138981, Z:1.543799
Joint10 X:0.270110, Y:-0.247645, Z:1.715952
Joint11 X:0.239597, Y:-0.284139, Z:1.776951
Joint12 X:-0.076097, Y:-0.447037, Z:1.359056
Joint13 X:-0.039429, Y:-0.889076, Z:1.332632
Joint14 X:-0.014152, Y:-1.211540, Z:1.331375
Joint15 X:-0.010052, Y:-1.242507, Z:1.192860
Joint16 X:0.101643, Y:-0.441594, Z:1.351081
Joint17 X:0.120169, Y:-0.883355, Z:1.341901
Joint18 X:0.134792, Y:-1.205665, Z:1.353314
Joint19 X:0.134099, Y:-1.241866, Z:1.217024
Joint20 X:-0.000757, Y:0.137637, Z:1.478055
Joint21 X:-0.264859, Y:-0.296035, Z:1.801297
Joint22 X:-0.256854, Y:-0.310583, Z:1.789463
Joint23 X:0.240940, Y:-0.285691, Z:1.780510
Joint24 X:0.240430, Y:-0.283789, Z:1.768610
Joint0 X:0.013227, Y:-0.454940, Z:1.387355
Joint1 X:0.005062, Y:-0.111383, Z:1.445371
Joint2 X:-0.002597, Y:0.218021, Z:1.485613
Joint3 X:-0.009675, Y:0.367236, Z:1.519120
Joint4 X:-0.171894, Y:0.034631, Z:1.452663
Joint5 X:-0.319716, Y:-0.165561, Z:1.545990
Joint6 X:-0.275999, Y:-0.265295, Z:1.739278
Joint7 X:-0.262236, Y:-0.298882, Z:1.807364
Joint8 X:0.188092, Y:0.041289, Z:1.447274
Joint9 X:0.364317, Y:-0.139209, Z:1.543677
Joint10 X:0.269989, Y:-0.247863, Z:1.715817
Joint11 X:0.239476, Y:-0.284353, Z:1.776813
Joint12 X:-0.075885, Y:-0.446878, Z:1.358471
Joint13 X:-0.041938, Y:-0.889354, Z:1.331817
Joint14 X:-0.018619, Y:-1.211963, Z:1.330394
Joint15 X:-0.014892, Y:-1.242919, Z:1.191810
Joint16 X:0.101758, Y:-0.441460, Z:1.350534
Joint17 X:0.121306, Y:-0.883338, Z:1.342087
Joint18 X:0.136656, Y:-1.205569, Z:1.354030
Joint19 X:0.136173, Y:-1.242024, Z:1.217798
Joint20 X:-0.000747, Y:0.137599, Z:1.477991
Joint21 X:-0.263763, Y:-0.295189, Z:1.800446
Joint22 X:-0.256334, Y:-0.310128, Z:1.789261
Joint23 X:0.240821, Y:-0.285904, Z:1.780372
Joint24 X:0.240383, Y:-0.283821, Z:1.768578
Joint0 X:0.013306, Y:-0.454951, Z:1.387211
Joint1 X:0.005156, Y:-0.111412, Z:1.445238
Joint2 X:-0.002537, Y:0.217972, Z:1.485613
Joint3 X:-0.009605, Y:0.367194, Z:1.519205
Joint4 X:-0.171864, Y:0.034606, Z:1.452621
Joint5 X:-0.319480, Y:-0.165752, Z:1.545900
Joint6 X:-0.277296, Y:-0.266036, Z:1.739194
Joint7 X:-0.264042, Y:-0.299805, Z:1.807282
Joint8 X:0.188135, Y:0.041292, Z:1.447304
Joint9 X:0.364375, Y:-0.139432, Z:1.543726
Joint10 X:0.270051, Y:-0.248076, Z:1.715855
Joint11 X:0.239540, Y:-0.284564, Z:1.776847
Joint12 X:-0.075775, Y:-0.446888, Z:1.358257
Joint13 X:-0.043146, Y:-0.889585, Z:1.331979
Joint14 X:-0.020777, Y:-1.212245, Z:1.330831
Joint15 X:-0.017217, Y:-1.243335, Z:1.192257
Joint16 X:0.101807, Y:-0.441468, Z:1.350444
Joint17 X:0.115784, Y:-0.883696, Z:1.342566
Joint18 X:0.127142, Y:-1.206069, Z:1.354912
Joint19 X:0.125792, Y:-1.242733, Z:1.218720
Joint20 X:-0.000669, Y:0.137553, Z:1.477946
Joint21 X:-0.265559, Y:-0.296108, Z:1.800366
Joint22 X:-0.257416, Y:-0.310885, Z:1.788984
Joint23 X:0.240884, Y:-0.286113, Z:1.780407
Joint24 X:0.240393, Y:-0.283853, Z:1.768583
Joint0 X:0.013295, Y:-0.454939, Z:1.387207
Joint1 X:0.005141, Y:-0.111399, Z:1.445252
Joint2 X:-0.002623, Y:0.217977, Z:1.485766
