Joint9 X:0.296330, Y:-0.157715, Z:1.537410
Joint10 X:0.259383, Y:-0.357724, Z:1.486929
Joint11 X:0.169905, Y:-0.380853, Z:1.373431
Joint12 X:-0.066967, Y:-0.396716, Z:1.411985
Joint13 X:-0.078040, Y:-0.789289, Z:1.337033
Joint14 X:-0.089184, Y:-1.152283, Z:1.291883
Joint15 X:-0.079360, Y:-1.169910, Z:1.163664
Joint16 X:0.107080, Y:-0.388955, Z:1.416828
Joint17 X:0.124428, Y:-0.781159, Z:1.338177
Joint18 X:0.141909, Y:-1.143671, Z:1.289549
Joint19 X:0.151602, Y:-1.160234, Z:1.161298
Joint20 X:-0.005984, Y:0.098226, Z:1.461367
Joint21 X:-0.179995, Y:-0.491185, Z:1.425509
Joint22 X:-0.183751, Y:-0.401707, Z:1.405619
Joint23 X:0.135210, Y:-0.426522, Z:1.318192
Joint24 X:0.203791, Y:-0.451186, Z:1.396741
Joint0 X:0.020356, Y:-0.401834, Z:1.446621
Joint1 X:0.005235, Y:-0.112647, Z:1.460313
Joint2 X:-0.009600, Y:0.166196, Z:1.458215
Joint3 X:-0.014815, Y:0.283076, Z:1.460980
Joint4 X:-0.182577, Y:0.017493, Z:1.472480
Joint5 X:-0.298952, Y:-0.193164, Z:1.500755
Joint6 X:-0.234583, Y:-0.386040, Z:1.448646
Joint7 X:-0.187979, Y:-0.427994, Z:1.420336
Joint8 X:0.194793, Y:0.078610, Z:1.516267
Joint9 X:0.296263, Y:-0.157744, Z:1.537502
Joint10 X:0.259106, Y:-0.357780, Z:1.486627
Joint11 X:0.170777, Y:-0.380737, Z:1.372759
Joint12 X:-0.067112, Y:-0.396658, Z:1.411710
Joint13 X:-0.078389, Y:-0.789257, Z:1.337186
Joint14 X:-0.089722, Y:-1.152277, Z:1.292429
Joint15 X:-0.079955, Y:-1.169979, Z:1.164229
Joint16 X:0.106893, Y:-0.388974, Z:1.416641
Joint17 X:0.124523, Y:-0.781185, Z:1.338259
Joint18 X:0.142259, Y:-1.143706, Z:1.289877
Joint19 X:0.151947, Y:-1.160307, Z:1.161639
Joint20 X:-0.005981, Y:0.097979, Z:1.461165
Joint21 X:-0.175551, Y:-0.498211, Z:1.410813
Joint22 X:-0.190961, Y:-0.441600, Z:1.381714
Joint23 X:0.135961, Y:-0.426431, Z:1.318447
Joint24 X:0.205408, Y:-0.454099, Z:1.398878
Joint0 X:0.020156, Y:-0.401777, Z:1.446320
Joint1 X:0.005188, Y:-0.112770, Z:1.459980
Joint2 X:-0.009461, Y:0.165767, Z:1.457961
Joint3 X:-0.014589, Y:0.282233, Z:1.459418
Joint4 X:-0.182583, Y:0.017686, Z:1.473113
Joint5 X:-0.299327, Y:-0.193489, Z:1.501035
Joint6 X:-0.232646, Y:-0.385387, Z:1.447245
Joint7 X:-0.186822, Y:-0.424349, Z:1.420925
Joint8 X:0.194884, Y:0.078629, Z:1.516263
Joint9 X:0.296170, Y:-0.157874, Z:1.537652
Joint10 X:0.259056, Y:-0.357934, Z:1.486161
Joint11 X:0.170984, Y:-0.380776, Z:1.373047
Joint12 X:-0.067303, Y:-0.396550, Z:1.411383
Joint13 X:-0.077908, Y:-0.789170, Z:1.336821
Joint14 X:-0.088633, Y:-1.152205, Z:1.292027
Joint15 X:-0.078967, Y:-1.169887, Z:1.163819
Joint16 X:0.106672, Y:-0.388957, Z:1.416319
Joint17 X:0.124690, Y:-0.781153, Z:1.337998
Joint18 X:0.142775, Y:-1.143659, Z:1.289671
Joint19 X:0.152335, Y:-1.160266, Z:1.161426
Joint20 X:-0.005890, Y:0.097639, Z:1.460869
Joint21 X:-0.173965, Y:-0.502474, Z:1.408466
Joint22 X:-0.190868, Y:-0.444329, Z:1.380124
Joint23 X:0.136486, Y:-0.426416, Z:1.317965
Joint24 X:0.205570, Y:-0.453435, Z:1.399532
Joint0 X:0.020031, Y:-0.401838, Z:1.446121
Joint1 X:0.005074, Y:-0.113048, Z:1.459615
Joint2 X:-0.009464, Y:0.165133, Z:1.457575
Joint3 X:-0.014965, Y:0.280622, Z:1.457210
Joint4 X:-0.182937, Y:0.017562, Z:1.473885
Joint5 X:-0.298699, Y:-0.193693, Z:1.501445
Joint6 X:-0.233287, Y:-0.385685, Z:1.445456
Joint7 X:-0.187393, Y:-0.426051, Z:1.422109
Joint8 X:0.194518, Y:0.078414, Z:1.515677
Joint9 X:0.296119, Y:-0.157956, Z:1.537710
Joint10 X:0.258955, Y:-0.358138, Z:1.485994
Joint11 X:0.170788, Y:-0.380993, Z:1.374447
Joint12 X:-0.067439, Y:-0.396613, Z:1.411259
Joint13 X:-0.077778, Y:-0.789267, Z:1.337085
Joint14 X:-0.088264, Y:-1.152337, Z:1.292644
Joint15 X:-0.078928, Y:-1.170095, Z:1.164438
Joint16 X:0.106549, Y:-0.389036, Z:1.416077
Joint17 X:0.124812, Y:-0.781268, Z:1.338359
Joint18 X:0.143117, Y:-1.143810, Z:1.290588
Joint19 X:0.152355, Y:-1.160547, Z:1.162348
Joint20 X:-0.005921, Y:0.097096, Z:1.460469
Joint21 X:-0.176684, Y:-0.499618, Z:1.414809
Joint22 X:-0.199746, Y:-0.460289, Z:1.379400
Joint23 X:0.137045, Y:-0.427704, Z:1.320017
Joint24 X:0.205313, Y:-0.453576, Z:1.399157
Joint0 X:0.019978, Y:-0.402173, Z:1.446329
Joint1 X:0.005000, Y:-0.113398, Z:1.459453
Joint2 X:-0.009483, Y:0.164662, Z:1.457233
Joint3 X:-0.016683, Y:0.278701, Z:1.455040
Joint4 X:-0.183777, Y:0.016880, Z:1.474999
Joint5 X:-0.298296, Y:-0.194253, Z:1.501680
Joint6 X:-0.233461, Y:-0.386215, Z:1.444210
Joint7 X:-0.187443, Y:-0.423520, Z:1.421314
Joint8 X:0.194087, Y:0.078056, Z:1.515102
Joint9 X:0.296179, Y:-0.158113, Z:1.537913
Joint10 X:0.258930, Y:-0.358297, Z:1.485623
Joint11 X:0.170833, Y:-0.381317, Z:1.374294
Joint12 X:-0.067464, Y:-0.397122, Z:1.411878
