Joint9 X:0.223340, Y:-0.222307, Z:1.437759
Joint10 X:0.276676, Y:-0.423864, Z:1.431076
Joint11 X:0.261294, Y:-0.425797, Z:1.466062
Joint12 X:-0.043709, Y:-0.419349, Z:1.355449
Joint13 X:-0.008062, Y:-0.722056, Z:1.352179
Joint14 X:0.036013, Y:-1.116782, Z:1.383106
Joint15 X:0.043423, Y:-1.150923, Z:1.268446
Joint16 X:0.080322, Y:-0.418918, Z:1.352126
Joint17 X:0.040720, Y:-0.720341, Z:1.356120
Joint18 X:-0.007409, Y:-1.113470, Z:1.396356
Joint19 X:-0.015996, Y:-1.150033, Z:1.283015
Joint20 X:0.009156, Y:0.079880, Z:1.430803
Joint21 X:-0.235836, Y:-0.435323, Z:1.445484
Joint22 X:-0.249357, Y:-0.411491, Z:1.426208
Joint23 X:0.255278, Y:-0.438958, Z:1.470975
Joint24 X:0.269059, Y:-0.419805, Z:1.455252
Joint0 X:0.018330, Y:-0.428727, Z:1.383992
Joint1 X:0.013168, Y:-0.134385, Z:1.415854
Joint2 X:0.008039, Y:0.149519, Z:1.432795
Joint3 X:0.005774, Y:0.277255, Z:1.435779
Joint4 X:-0.139428, Y:0.026987, Z:1.397143
Joint5 X:-0.214765, Y:-0.199707, Z:1.434604
Joint6 X:-0.297422, Y:-0.391078, Z:1.411395
Joint7 X:-0.296775, Y:-0.420675, Z:1.417215
Joint8 X:0.160123, Y:0.024946, Z:1.396587
Joint9 X:0.242548, Y:-0.204040, Z:1.439547
Joint10 X:0.325359, Y:-0.395501, Z:1.432089
Joint11 X:0.311890, Y:-0.414096, Z:1.442123
Joint12 X:-0.044175, Y:-0.419602, Z:1.355293
Joint13 X:-0.007985, Y:-0.722203, Z:1.352356
Joint14 X:0.036824, Y:-1.117328, Z:1.383766
Joint15 X:0.044163, Y:-1.151549, Z:1.269103
Joint16 X:0.080001, Y:-0.418999, Z:1.351893
Joint17 X:0.043592, Y:-0.720786, Z:1.355833
Joint18 X:-0.000553, Y:-1.114906, Z:1.396072
Joint19 X:-0.008696, Y:-1.151489, Z:1.282671
Joint20 X:0.009301, Y:0.079974, Z:1.430801
Joint21 X:-0.291041, Y:-0.455407, Z:1.421352
Joint22 X:-0.288324, Y:-0.428369, Z:1.442500
Joint23 X:0.306614, Y:-0.444498, Z:1.440205
Joint24 X:0.316023, Y:-0.392098, Z:1.387686
Joint0 X:0.018207, Y:-0.429365, Z:1.384013
Joint1 X:0.013163, Y:-0.134625, Z:1.415881
Joint2 X:0.008102, Y:0.149448, Z:1.432842
Joint3 X:0.006092, Y:0.277174, Z:1.435707
Joint4 X:-0.139766, Y:0.027601, Z:1.396711
Joint5 X:-0.248606, Y:-0.190832, Z:1.432569
Joint6 X:-0.349221, Y:-0.372939, Z:1.405433
Joint7 X:-0.363273, Y:-0.393696, Z:1.410218
Joint8 X:0.160400, Y:0.023692, Z:1.395366
Joint9 X:0.277281, Y:-0.193508, Z:1.435510
Joint10 X:0.394513, Y:-0.364252, Z:1.400839
Joint11 X:0.394605, Y:-0.386124, Z:1.405750
Joint12 X:-0.044341, Y:-0.420287, Z:1.355112
Joint13 X:-0.007416, Y:-0.722749, Z:1.352478
Joint14 X:0.038345, Y:-1.117920, Z:1.384296
Joint15 X:0.045682, Y:-1.152212, Z:1.269669
Joint16 X:0.079922, Y:-0.419636, Z:1.352136
Joint17 X:0.043964, Y:-0.721516, Z:1.355654
Joint18 X:0.000367, Y:-1.115969, Z:1.395372
Joint19 X:-0.007818, Y:-1.152372, Z:1.281875
Joint20 X:0.009349, Y:0.079875, Z:1.430839
Joint21 X:-0.373999, Y:-0.425994, Z:1.401597
Joint22 X:-0.338463, Y:-0.395942, Z:1.426533
Joint23 X:0.397268, Y:-0.411738, Z:1.394341
Joint24 X:0.402536, Y:-0.354681, Z:1.362250
Joint0 X:0.018292, Y:-0.430544, Z:1.384001
Joint1 X:0.013466, Y:-0.135428, Z:1.415895
Joint2 X:0.008656, Y:0.148886, Z:1.432899
Joint3 X:0.006506, Y:0.277220, Z:1.435758
Joint4 X:-0.142328, Y:0.027139, Z:1.396289
Joint5 X:-0.286323, Y:-0.170923, Z:1.428799
Joint6 X:-0.430760, Y:-0.320346, Z:1.400882
Joint7 X:-0.435038, Y:-0.305190, Z:1.405497
Joint8 X:0.167261, Y:0.019360, Z:1.395143
Joint9 X:0.338739, Y:-0.170981, Z:1.416282
Joint10 X:0.494146, Y:-0.308692, Z:1.391134
Joint11 X:0.494834, Y:-0.317304, Z:1.384644
Joint12 X:-0.044316, Y:-0.421459, Z:1.354341
Joint13 X:-0.007160, Y:-0.723716, Z:1.352828
Joint14 X:0.038927, Y:-1.118966, Z:1.386125
Joint15 X:0.046654, Y:-1.153556, Z:1.271675
Joint16 X:0.080112, Y:-0.421061, Z:1.352961
Joint17 X:0.045846, Y:-0.723232, Z:1.355412
Joint18 X:0.004367, Y:-1.118382, Z:1.393783
Joint19 X:-0.003140, Y:-1.154466, Z:1.280050
Joint20 X:0.009836, Y:0.079270, Z:1.430886
Joint21 X:-0.474683, Y:-0.353418, Z:1.393967
Joint22 X:-0.419523, Y:-0.341100, Z:1.397793
Joint23 X:0.499136, Y:-0.339859, Z:1.365285
Joint24 X:0.503692, Y:-0.290727, Z:1.354143
Joint0 X:0.019072, Y:-0.431456, Z:1.384364
Joint1 X:0.014208, Y:-0.136023, Z:1.415961
Joint2 X:0.009485, Y:0.148528, Z:1.432735
Joint3 X:0.006879, Y:0.277323, Z:1.435614
Joint4 X:-0.144687, Y:0.026626, Z:1.395687
Joint5 X:-0.310580, Y:-0.156319, Z:1.421051
Joint6 X:-0.470588, Y:-0.289232, Z:1.396710
Joint7 X:-0.496151, Y:-0.298019, Z:1.401071
Joint8 X:0.172045, Y:0.017660, Z:1.394805
Joint9 X:0.360473, Y:-0.152286, Z:1.409664
Joint10 X:0.531218, Y:-0.270683, Z:1.387893
Joint11 X:0.533965, Y:-0.276809, Z:1.379175
Joint12 X:-0.043634, Y:-0.422138, Z:1.354365
Joint13 X:-0.007003, Y:-0.724439, Z:1.352805
Joint14 X:0.038462, Y:-1.119997, Z:1.386066
Joint15 X:0.046214, Y:-1.154537, Z:1.271575
Joint16 X:0.080929, Y:-0.422112, Z:1.353706
Joint17 X:0.045493, Y:-0.724250, Z:1.355367
Joint18 X:0.002521, Y:-1.119613, Z:1.392735
Joint19 X:-0.005029, Y:-1.155370, Z:1.278808
Joint20 X:0.010627, Y:0.078858, Z:1.430777
Joint21 X:-0.524446, Y:-0.318485, Z:1.397881
Joint22 X:-0.469063, Y:-0.315497, Z:1.393400
Joint23 X:0.544552, Y:-0.290804, Z:1.364292
Joint24 X:0.539280, Y:-0.243955, Z:1.365364
Joint0 X:0.019592, Y:-0.432145, Z:1.384887
Joint1 X:0.014712, Y:-0.136430, Z:1.416066
Joint2 X:0.010046, Y:0.148338, Z:1.432536
Joint3 X:0.007373, Y:0.277506, Z:1.435386
Joint4 X:-0.150815, Y:0.024159, Z:1.395653
Joint5 X:-0.329670, Y:-0.128583, Z:1.412089
Joint6 X:-0.514715, Y:-0.223597, Z:1.390260
Joint7 X:-0.538667, Y:-0.240039, Z:1.399096
Joint8 X:0.175082, Y:0.017447, Z:1.393962
