Joint9 X:0.327013, Y:0.058227, Z:1.460264
Joint10 X:0.439373, Y:-0.061039, Z:1.369514
Joint11 X:0.475596, Y:-0.126580, Z:1.321591
Joint12 X:-0.063742, Y:-0.262111, Z:1.359767
Joint13 X:-0.065861, Y:-0.576669, Z:1.334676
Joint14 X:-0.059775, Y:-0.948398, Z:1.346718
Joint15 X:-0.056251, Y:-0.975893, Z:1.228879
Joint16 X:0.076162, Y:-0.260432, Z:1.361342
Joint17 X:0.094455, Y:-0.574184, Z:1.350158
Joint18 X:0.087158, Y:-0.946070, Z:1.341730
Joint19 X:0.085756, Y:-0.968915, Z:1.221648
Joint20 X:-0.012151, Y:0.276775, Z:1.433376
Joint21 X:-0.212472, Y:-0.197761, Z:1.085495
Joint22 X:-0.208794, Y:-0.135007, Z:1.086121
Joint23 X:0.501473, Y:-0.177786, Z:1.289792
Joint24 X:0.470847, Y:-0.124790, Z:1.285654
Joint0 X:0.006380, Y:-0.266022, Z:1.393316
Joint1 X:-0.004072, Y:0.049961, Z:1.423760
Joint2 X:-0.014026, Y:0.351269, Z:1.443072
Joint3 X:-0.018926, Y:0.506717, Z:1.428522
Joint4 X:-0.181776, Y:0.231765, Z:1.428255
Joint5 X:-0.330531, Y:0.096053, Z:1.313727
Joint6 X:-0.335967, Y:-0.019969, Z:1.161871
Joint7 X:-0.351279, Y:-0.086060, Z:1.096713
Joint8 X:0.159958, Y:0.233991, Z:1.436156
Joint9 X:0.360594, Y:0.094368, Z:1.451927
Joint10 X:0.493671, Y:-0.007338, Z:1.369889
Joint11 X:0.564133, Y:-0.074980, Z:1.321505
Joint12 X:-0.063508, Y:-0.260362, Z:1.359303
Joint13 X:-0.069133, Y:-0.575655, Z:1.335328
Joint14 X:-0.053654, Y:-0.946503, Z:1.347577
Joint15 X:-0.047875, Y:-0.973947, Z:1.229760
Joint16 X:0.076138, Y:-0.258712, Z:1.360146
Joint17 X:0.093531, Y:-0.572173, Z:1.349914
Joint18 X:0.088828, Y:-0.944579, Z:1.341699
Joint19 X:0.088504, Y:-0.967315, Z:1.221558
Joint20 X:-0.011607, Y:0.278016, Z:1.440230
Joint21 X:-0.357523, Y:-0.139021, Z:1.064896
Joint22 X:-0.369204, Y:-0.074956, Z:1.071648
Joint23 X:0.591257, Y:-0.129309, Z:1.300141
Joint24 X:0.582956, Y:-0.113776, Z:1.322000
Joint0 X:0.006387, Y:-0.264523, Z:1.392972
Joint1 X:-0.002739, Y:0.050696, Z:1.426822
Joint2 X:-0.010519, Y:0.350050, Z:1.449619
Joint3 X:-0.019530, Y:0.504529, Z:1.432018
Joint4 X:-0.182926, Y:0.231561, Z:1.441694
Joint5 X:-0.352888, Y:0.095616, Z:1.397650
Joint6 X:-0.424131, Y:-0.041784, Z:1.278472
Joint7 X:-0.445670, Y:-0.111516, Z:1.233188
Joint8 X:0.160053, Y:0.236258, Z:1.442121
Joint9 X:0.358208, Y:0.092130, Z:1.475621
Joint10 X:0.489962, Y:-0.025189, Z:1.419516
Joint11 X:0.535233, Y:-0.094973, Z:1.396130
Joint12 X:-0.063445, Y:-0.259011, Z:1.359552
Joint13 X:-0.069209, Y:-0.575128, Z:1.335777
Joint14 X:-0.053640, Y:-0.945265, Z:1.349126
Joint15 X:-0.050079, Y:-0.973144, Z:1.231408
Joint16 X:0.076020, Y:-0.257036, Z:1.359065
Joint17 X:0.093357, Y:-0.572158, Z:1.349772
Joint18 X:0.090113, Y:-0.943059, Z:1.341906
Joint19 X:0.087745, Y:-0.965810, Z:1.221736
Joint20 X:-0.008675, Y:0.277317, Z:1.445969
Joint21 X:-0.469458, Y:-0.159352, Z:1.195269
Joint22 X:-0.471380, Y:-0.113569, Z:1.202190
Joint23 X:0.573181, Y:-0.145396, Z:1.373660
Joint24 X:0.555231, Y:-0.114078, Z:1.392375
Joint0 X:0.005748, Y:-0.263801, Z:1.393187
Joint1 X:-0.002200, Y:0.050059, Z:1.429428
Joint2 X:-0.008436, Y:0.347374, Z:1.454041
Joint3 X:-0.020823, Y:0.501036, Z:1.435272
Joint4 X:-0.182945, Y:0.231629, Z:1.461195
Joint5 X:-0.353944, Y:0.069265, Z:1.481329
Joint6 X:-0.426695, Y:-0.110168, Z:1.440007
Joint7 X:-0.449580, Y:-0.185810, Z:1.427848
Joint8 X:0.158123, Y:0.235683, Z:1.448865
Joint9 X:0.313903, Y:0.059444, Z:1.518075
Joint10 X:0.431418, Y:-0.109793, Z:1.483101
Joint11 X:0.449186, Y:-0.187024, Z:1.472488
Joint12 X:-0.063932, Y:-0.258205, Z:1.360901
Joint13 X:-0.068311, Y:-0.575858, Z:1.335933
Joint14 X:-0.044499, Y:-0.944196, Z:1.351501
Joint15 X:-0.043232, Y:-0.972879, Z:1.234123
Joint16 X:0.074817, Y:-0.256165, Z:1.358132
Joint17 X:0.092878, Y:-0.573035, Z:1.348451
Joint18 X:0.090623, Y:-0.942413, Z:1.341877
Joint19 X:0.084813, Y:-0.965451, Z:1.221911
Joint20 X:-0.006987, Y:0.275119, Z:1.450001
Joint21 X:-0.472846, Y:-0.244995, Z:1.417142
Joint22 X:-0.470848, Y:-0.169701, Z:1.412155
Joint23 X:0.462998, Y:-0.242583, Z:1.460926
Joint24 X:0.431921, Y:-0.197189, Z:1.499900
Joint0 X:0.002395, Y:-0.262936, Z:1.392313
Joint1 X:-0.003106, Y:0.049247, Z:1.430114
Joint2 X:-0.008504, Y:0.345442, Z:1.455316
Joint3 X:-0.023978, Y:0.498015, Z:1.434998
Joint4 X:-0.190120, Y:0.230481, Z:1.473882
Joint5 X:-0.328810, Y:0.046782, Z:1.524123
Joint6 X:-0.352570, Y:-0.134924, Z:1.522645
Joint7 X:-0.347579, Y:-0.192709, Z:1.522294
